iter	Passed	Remaining
0	1	136
1	2	123
2	3	116
3	4	108
4	5	107
5	6	106
6	7	104
7	9	103
8	10	102
9	11	104
10	12	102
11	13	100
12	14	99
13	15	97
14	17	96
15	18	94
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	25	89
22	26	88
23	27	87
24	28	86
25	29	85
26	30	83
27	32	82
28	33	81
29	34	80
30	35	79
31	36	78
32	38	78
33	39	77
34	40	76
35	42	75
36	43	73
37	44	72
38	45	71
39	47	70
40	48	69
41	48	67
42	49	66
43	51	64
44	52	64
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	63	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	40
66	79	39
67	81	38
68	82	37
69	83	35
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	93	27
77	94	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	104	18
85	105	17
86	106	15
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	115	8
93	116	7
94	117	6
95	118	4
96	120	3
97	121	2
98	123	1
99	124	0
